Time	Ir	iD	Vd	Vl	Voi	Vi	Vr
1e-005	3.7697e-010	3.77302e-010	0.00376983	7.53952e-008	7.57722e-008	0.0037699	3.76976e-010
2e-005	6.55047e-005	6.55055e-005	6.55055e-010	0.00747425	0.00753975	0.00753975	6.55047e-005
3e-005	0.000167776	0.000167777	1.67777e-009	0.0111417	0.0113095	0.0113095	0.000167776
4e-005	0.000297393	0.000297395	2.97395e-009	0.0147817	0.0150791	0.0150791	0.000297393
5e-005	0.000463228	0.000463229	4.63229e-009	0.0183852	0.0188484	0.0188484	0.000463228
6e-005	0.000664917	0.000664919	6.64919e-009	0.0219526	0.0226175	0.0226175	0.000664917
7e-005	0.000902101	0.000902103	9.02103e-009	0.0254842	0.0263863	0.0263863	0.000902101
8e-005	0.00117442	0.00117443	1.17443e-008	0.0289803	0.0301547	0.0301547	0.00117442
9e-005	0.00148153	0.00148153	1.48153e-008	0.0324411	0.0339227	0.0339227	0.00148153
0.0001	0.00182307	0.00182308	1.82308e-008	0.0358671	0.0376902	0.0376902	0.00182307
0.00011	0.0021987	0.0021987	2.1987e-008	0.0392584	0.0414571	0.0414571	0.0021987
0.00012	0.00260807	0.00260807	2.60807e-008	0.0426154	0.0452235	0.0452235	0.00260807
0.00013	0.00305084	0.00305084	3.05084e-008	0.0459384	0.0489892	0.0489892	0.00305084
0.00014	0.00352667	0.00352667	3.52667e-008	0.0492275	0.0527542	0.0527543	0.00352667
0.00015	0.00403522	0.00403523	4.03523e-008	0.0524833	0.0565185	0.0565185	0.00403522
0.00016	0.00457617	0.00457617	4.57617e-008	0.0557058	0.060282	0.060282	0.00457617
0.00017	0.00514917	0.00514918	5.14918e-008	0.0588954	0.0640446	0.0640446	0.00514917
0.00018	0.00575391	0.00575392	5.75392e-008	0.0620524	0.0678063	0.0678063	0.00575391
0.00019	0.00639006	0.00639006	6.39006e-008	0.0651769	0.071567	0.0715671	0.00639006
0.0002	0.00705729	0.0070573	7.0573e-008	0.0682694	0.0753267	0.0753268	0.00705729
0.00021	0.00775529	0.00775529	7.75529e-008	0.0713301	0.0790854	0.0790855	0.00775529
0.00022	0.00848373	0.00848374	8.48374e-008	0.0743592	0.0828429	0.082843	0.00848373
